fold_id,train_start_date,train_end_date,validation_start_date,validation_end_date,test_start_date,test_end_date,best_iteration,MAE,RMSE,MAPE,R2,Return_MAE,Return_RMSE,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,Baseline_MAPE,Baseline_Return_MAE,Baseline_Return_RMSE
1,2015-12-04,2021-02-03,2021-02-04,2022-02-23,2022-02-24,2023-03-08,501,0.6194412312022071,0.939140274244154,5.614846609847173,0.9845813315907522,0.05455196899105405,0.10647935384540927,54.56722609843485,0.6297563643220818,0.9616759896309272,5.51261325761568,0.05345876272667904,0.07141310624396759
2,2015-12-04,2022-02-23,2022-02-24,2023-03-08,2023-03-09,2024-03-20,222,0.4472356060826604,0.729420857096225,4.267570599079934,0.9913066494485374,0.04233071040309392,0.06065101571531212,51.17843246247915,0.44395775430794887,0.7392372915426666,4.096320500079012,0.04083681241140178,0.05878607219309877
3,2015-12-04,2023-03-08,2023-03-09,2024-03-20,2024-03-21,2025-04-03,872,0.494113286950034,0.8156896456383835,4.0429225734007685,0.9906138647916736,0.04018774015101947,0.0575421720501599,55.60154371049835,0.5020644331338442,0.8438386983924558,4.097088215370025,0.040555558884364296,0.0588039243619341
4,2015-12-04,2024-03-20,2024-03-21,2025-04-03,2025-04-04,2026-04-20,792,0.46102611649829917,0.7643053491597326,3.7228714383026684,0.991798685016891,0.037104907322745295,0.05390573921798772,55.036552520200075,0.46771758368603306,0.7922618056912842,3.7647714698386148,0.03743342654844011,0.05524012300332215
