symbol,company_name,sector,listed_date
CDP,Công ty Cổ phần Dược phẩm Trung ương Codupha,Health Care,2018-07-13T00:00:00
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Industrial Goods & Services,2017-11-29T00:00:00
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Construction & Materials,2005-07-14T00:00:00
CK8,Công ty Cổ phần Cơ khí 120,Real Estate,2023-01-06T00:00:00
CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi,Industrial Goods & Services,2015-05-21T00:00:00
CLI,Công ty Cổ phần Tập đoàn CNCTech,Basic Resources,2026-05-06T00:00:00
CLM,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Basic Resources,2016-04-15T00:00:00
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Food & Beverage,2017-03-01T00:00:00
CMM,Công ty Cổ phần Camimex,Food & Beverage,2022-11-08T00:00:00
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Food & Beverage,2017-07-10T00:00:00
CMP,Công ty Cổ phần Cảng Chân Mây,Industrial Goods & Services,2016-02-15T00:00:00
CQN,Công ty Cổ phần Cảng Quảng Ninh,Industrial Goods & Services,2020-08-18T00:00:00
CQT,Công ty Cổ phần Xi măng Quán Triều VVMI,Construction & Materials,2016-11-01T00:00:00
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Real Estate,2018-09-05T00:00:00
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,Real Estate,2025-10-10T00:00:00
CSC,Công ty Cổ phần Tập đoàn COTANA,Construction & Materials,2009-11-04T00:00:00
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Automobiles & Parts,2009-08-11T00:00:00
CST,Công ty Cổ phần Than Cao Sơn - TKV,Basic Resources,2021-04-26T00:00:00
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Chemicals,2015-03-18T00:00:00
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Construction & Materials,2009-11-20T00:00:00
CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương,Industrial Goods & Services,2006-10-10T00:00:00
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Banks,2009-07-16T00:00:00
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Construction & Materials,2010-03-19T00:00:00
CTP,Công ty Cổ phần Tập đoàn CTP Group,Food & Beverage,2016-07-28T00:00:00
CTR,Tổng Công ty Cổ phần Công trình Viettel,Construction & Materials,2017-10-31T00:00:00
CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ,Utilities,2016-09-30T00:00:00
CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Construction & Materials,2012-05-24T00:00:00
CVT,Công ty Cổ phần CMC,Construction & Materials,2009-11-05T00:00:00
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Construction & Materials,2010-05-19T00:00:00
CYC,Công ty Cổ phần Gạch men Chang Yih,Construction & Materials,2006-07-31T00:00:00
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Real Estate,2009-08-14T00:00:00
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Chemicals,2010-04-08T00:00:00
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Automobiles & Parts,2014-09-25T00:00:00
