trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2024-10-18,,0,0.0,-0.026741906882864125,0.0,0.0,0.0,0.0,0.0,-0.026741906882864153
2024-10-21,,0,0.0,-0.01813151679090099,0.0,0.0,0.0,0.0,0.0,-0.04438855234009775
2024-10-22,,0,0.0,-0.0006781721996456495,0.0,0.0,0.0,0.0,0.0,-0.04503662145756382
2024-10-23,,0,0.0,-0.005629355563389474,0.0,0.0,0.0,0.0,0.0,-0.05041244986539495
2024-10-24,,0,0.0,0.007450218309215899,0.0,0.0,0.0,0.0,0.0,-0.043337815313178596
2024-10-25,,0,0.0,0.0001638614216401273,0.0,0.0,0.0,0.0,0.0,-0.04318105528756644
2024-10-28,,0,0.0,-0.009061184650014825,0.0,0.0,0.0,0.0,0.0,-0.05185096842223813
2024-10-29,,0,0.0,-0.01296780871473752,0.0,0.0,0.0,0.0,0.0,-0.06414638369680226
2024-10-30,,0,0.0,0.00046733339688973284,0.0,0.0,0.0,0.0,0.0,-0.06370902804730383
2024-10-31,,0,0.0,0.0039617063155109435,0.0,0.0,0.0,0.0,0.0,-0.059999718190563045
2024-11-01,,0,0.0,0.005544948268857918,0.0,0.0,0.0,0.0,0.0,-0.05478746525521794
2024-11-04,,0,0.0,0.018937280398114355,0.0,0.0,0.0,0.0,0.0,-0.03688771044894368
2024-11-05,,0,0.0,0.01937780383084795,0.0,0.0,0.0,0.0,0.0,-0.018224709434944586
2024-11-06,,0,0.0,0.005689622618273179,0.0,0.0,0.0,0.0,0.0,-0.012638778535683848
2024-11-07,,0,0.0,-0.006009959961224494,0.0,0.0,0.0,0.0,0.0,-0.018572779943950013
2024-11-08,,0,0.0,-0.023725865231479435,0.0,0.0,0.0,0.0,0.0,-0.041857989901505355
2024-11-11,"VOS,TRC",2,-0.032865978342034474,-0.027251917661777418,0.38889646530151367,0.004,-0.03686597834203448,-0.03286597834203442,-0.03686597834203442,-0.0679691970689994
