symbol,date,volume,volume_rounded
ABR,2023-02-27 07:00:00,10775.523300229182,10776.0
ABT,2018-09-11 07:00:00,6330.066760695816,6330.0
ABT,2022-06-22 07:00:00,6330.066760695816,6330.0
ABT,2023-02-09 07:00:00,6330.066760695816,6330.0
ABT,2025-04-09 07:00:00,6330.066760695816,6330.0
ACB,2018-03-19 07:00:00,8032011.533536585,8032012.0
ACB,2020-03-03 07:00:00,8032011.533536585,8032012.0
ACB,2021-08-26 07:00:00,8032011.533536585,8032012.0
ACB,2022-01-12 07:00:00,8032011.533536585,8032012.0
ACB,2023-07-06 07:00:00,8032011.533536585,8032012.0
ACB,2024-05-03 07:00:00,8032011.533536585,8032012.0
ACB,2025-08-05 07:00:00,8032011.533536585,8032012.0
ACC,2021-01-05 07:00:00,89371.18091451292,89371.0
ACC,2021-10-11 07:00:00,89371.18091451292,89371.0
ACL,2016-12-23 07:00:00,110874.03046521202,110874.0
ACL,2017-10-12 07:00:00,110874.03046521202,110874.0
ACL,2018-10-24 07:00:00,110874.03046521202,110874.0
ACL,2021-06-10 07:00:00,110874.03046521202,110874.0
ACL,2022-08-15 07:00:00,110874.03046521202,110874.0
ACL,2024-09-18 07:00:00,110874.03046521202,110874.0
ACL,2026-04-21 07:00:00,110874.03046521202,110874.0
ACM,2016-02-03 07:00:00,1526439.874423963,1526440.0
ACM,2017-03-14 07:00:00,1526439.874423963,1526440.0
ACM,2025-11-07 07:00:00,1526439.874423963,1526440.0
ACV,2017-12-05 07:00:00,449639.8459563543,449640.0
ACV,2024-05-15 07:00:00,449639.8459563543,449640.0
ACV,2025-03-05 07:00:00,449639.8459563543,449640.0
ADC,2018-08-29 07:00:00,2436.797349961029,2437.0
ADC,2019-10-30 07:00:00,2436.797349961029,2437.0
ADC,2021-09-06 07:00:00,2436.797349961029,2437.0
ADC,2024-10-11 07:00:00,2436.797349961029,2437.0
ADC,2025-07-02 07:00:00,2436.797349961029,2437.0
AFX,2019-05-24 07:00:00,137782.39732142858,137782.0
AFX,2021-05-27 07:00:00,137782.39732142858,137782.0
AFX,2022-06-01 07:00:00,137782.39732142858,137782.0
AFX,2025-02-04 07:00:00,137782.39732142858,137782.0
AFX,2025-03-11 07:00:00,137782.39732142858,137782.0
AGG,2020-05-26 07:00:00,1469914.9043367347,1469915.0
AGP,2016-06-10 07:00:00,8278.40070713023,8278.0
AGP,2016-09-16 07:00:00,8278.40070713023,8278.0
AGP,2017-10-20 07:00:00,8278.40070713023,8278.0
AGP,2019-11-29 07:00:00,8278.40070713023,8278.0
AGP,2025-02-10 07:00:00,8278.40070713023,8278.0
AGX,2022-12-15 07:00:00,4744.190476190476,4744.0
AGX,2023-12-01 07:00:00,4744.190476190476,4744.0
AGX,2025-08-25 07:00:00,4744.190476190476,4744.0
ALV,2016-01-04 07:00:00,46670.96702068194,46671.0
ALV,2018-07-18 07:00:00,46670.96702068194,46671.0
ALV,2018-09-21 07:00:00,46670.96702068194,46671.0
ALV,2019-08-30 07:00:00,46670.96702068194,46671.0
ALV,2025-06-24 07:00:00,46670.96702068194,46671.0
ANT,2021-08-02 07:00:00,24161.047865459248,24161.0
ANT,2025-11-14 07:00:00,24161.047865459248,24161.0
ANV,2017-11-08 07:00:00,1807875.4485692189,1807875.0
ANV,2019-06-20 07:00:00,1807875.4485692189,1807875.0
ANV,2019-10-01 07:00:00,1807875.4485692189,1807875.0
ANV,2021-07-26 07:00:00,1807875.4485692189,1807875.0
ANV,2022-06-14 07:00:00,1807875.4485692189,1807875.0
ANV,2023-02-22 07:00:00,1807875.4485692189,1807875.0
APF,2018-05-29 07:00:00,23861.466804979253,23861.0
APF,2022-10-04 07:00:00,23861.466804979253,23861.0
APF,2025-07-15 07:00:00,23861.466804979253,23861.0
APG,2018-08-30 07:00:00,1257664.9679907444,1257665.0
APG,2020-10-13 07:00:00,1257664.9679907444,1257665.0
APG,2022-03-24 07:00:00,1257664.9679907444,1257665.0
APG,2024-05-13 07:00:00,1257664.9679907444,1257665.0
APG,2025-01-21 07:00:00,1257664.9679907444,1257665.0
APG,2025-09-03 07:00:00,1257664.9679907444,1257665.0
ARM,2024-09-16 07:00:00,2008.6246200607902,2009.0
ASM,2016-07-05 07:00:00,5170101.299456944,5170101.0
ATS,2016-09-19 07:00:00,26592.350506756757,26592.0
ATS,2019-01-04 07:00:00,26592.350506756757,26592.0
ATS,2019-06-07 07:00:00,26592.350506756757,26592.0
ATS,2024-12-20 07:00:00,26592.350506756757,26592.0
AVC,2018-12-05 07:00:00,3181.4335169158144,3181.0
AVC,2024-03-01 07:00:00,3181.4335169158144,3181.0
AVC,2024-07-19 07:00:00,3181.4335169158144,3181.0
AVC,2024-09-20 07:00:00,3181.4335169158144,3181.0
BAB,2023-04-19 07:00:00,37822.418685121105,37822.0
BAB,2023-09-18 07:00:00,37822.418685121105,37822.0
BAB,2024-09-18 07:00:00,37822.418685121105,37822.0
BAF,2023-05-16 07:00:00,4913312.983425414,4913313.0
BAF,2025-02-25 07:00:00,4913312.983425414,4913313.0
BAF,2025-05-13 07:00:00,4913312.983425414,4913313.0
BAF,2025-10-28 07:00:00,4913312.983425414,4913313.0
BAF,2026-04-14 07:00:00,4913312.983425414,4913313.0
BAL,2022-11-03 07:00:00,1381.6526576019778,1382.0
BAL,2026-04-13 07:00:00,1381.6526576019778,1382.0
BBH,2024-12-26 07:00:00,6003.3020527859235,6003.0
BBS,2019-08-21 07:00:00,23450.375105842508,23450.0
BBS,2025-01-14 07:00:00,23450.375105842508,23450.0
BCA,2023-02-15 07:00:00,124468.78446771379,124469.0
BCA,2024-02-23 07:00:00,124468.78446771379,124469.0
BCM,2018-10-24 07:00:00,508134.5526838966,508135.0
BCM,2023-05-08 07:00:00,508134.5526838966,508135.0
BCM,2023-08-09 07:00:00,508134.5526838966,508135.0
BCM,2023-08-23 07:00:00,508134.5526838966,508135.0
BCP,2018-01-23 07:00:00,5346.80118694362,5347.0
BCP,2018-05-09 07:00:00,5346.80118694362,5347.0
BCP,2020-09-22 07:00:00,5346.80118694362,5347.0
BHA,2019-05-22 07:00:00,16601.358921161827,16601.0
BHN,2019-09-19 07:00:00,10312.826530612245,10313.0
BHN,2023-07-14 07:00:00,10312.826530612245,10313.0
BHN,2025-03-18 07:00:00,10312.826530612245,10313.0
BHP,2016-01-20 07:00:00,4180.321746160064,4180.0
BHP,2016-11-29 07:00:00,4180.321746160064,4180.0
BHP,2018-10-03 07:00:00,4180.321746160064,4180.0
BHP,2024-01-22 07:00:00,4180.321746160064,4180.0
BHP,2024-08-01 07:00:00,4180.321746160064,4180.0
BLI,2020-01-03 07:00:00,22348.951058823528,22349.0
BLI,2021-01-22 07:00:00,22348.951058823528,22349.0
BLI,2025-03-19 07:00:00,22348.951058823528,22349.0
BMG,2021-12-09 07:00:00,2640.3294797687863,2640.0
BMS,2020-03-18 07:00:00,279139.36772151897,279139.0
BMS,2021-07-29 07:00:00,279139.36772151897,279139.0
BMS,2021-12-14 07:00:00,279139.36772151897,279139.0
BMS,2024-06-17 07:00:00,279139.36772151897,279139.0
BMS,2024-09-12 07:00:00,279139.36772151897,279139.0
BMS,2024-10-25 07:00:00,279139.36772151897,279139.0
BMS,2025-10-30 07:00:00,279139.36772151897,279139.0
BT1,2021-06-16 07:00:00,4993.754826254826,4994.0
BTN,2021-09-29 07:00:00,88009.20459440058,88009.0
BTN,2022-11-15 07:00:00,88009.20459440058,88009.0
BTN,2024-06-14 07:00:00,88009.20459440058,88009.0
BTN,2025-02-10 07:00:00,88009.20459440058,88009.0
BTN,2025-05-08 07:00:00,88009.20459440058,88009.0
BTP,2018-02-23 07:00:00,55560.01969279244,55560.0
BTP,2020-07-23 07:00:00,55560.01969279244,55560.0
BTP,2020-10-26 07:00:00,55560.01969279244,55560.0
BTP,2023-11-14 07:00:00,55560.01969279244,55560.0
BTP,2024-06-17 07:00:00,55560.01969279244,55560.0
BTP,2024-07-10 07:00:00,55560.01969279244,55560.0
BTP,2024-09-20 07:00:00,55560.01969279244,55560.0
BTS,2020-08-31 07:00:00,94253.16053357866,94253.0
BTS,2021-09-09 07:00:00,94253.16053357866,94253.0
BTS,2022-06-03 07:00:00,94253.16053357866,94253.0
BTS,2023-01-03 07:00:00,94253.16053357866,94253.0
BTU,2017-08-18 07:00:00,3023.1135693215338,3023.0
BTU,2021-03-24 07:00:00,3023.1135693215338,3023.0
BTU,2022-01-14 07:00:00,3023.1135693215338,3023.0
BVL,2021-07-08 07:00:00,10858.187122736419,10858.0
BVL,2021-12-20 07:00:00,10858.187122736419,10858.0
BVL,2023-08-08 07:00:00,10858.187122736419,10858.0
BVL,2024-02-20 07:00:00,10858.187122736419,10858.0
BVL,2025-05-05 07:00:00,10858.187122736419,10858.0
BVS,2016-07-18 07:00:00,672698.5615325078,672699.0
BVS,2021-02-26 07:00:00,672698.5615325078,672699.0
C21,2017-11-24 07:00:00,16064.699354838709,16065.0
C21,2020-09-24 07:00:00,16064.699354838709,16065.0
C21,2021-11-22 07:00:00,16064.699354838709,16065.0
C21,2022-04-04 07:00:00,16064.699354838709,16065.0
CCI,2017-02-15 07:00:00,7182.915587778353,7183.0
CCR,2022-10-06 07:00:00,5354.550736497545,5355.0
CCR,2023-01-19 07:00:00,5354.550736497545,5355.0
CCR,2023-09-28 07:00:00,5354.550736497545,5355.0
CCR,2025-05-15 07:00:00,5354.550736497545,5355.0
CDN,2022-10-20 07:00:00,13857.189810640217,13857.0
CDO,2018-10-26 07:00:00,939682.0397820163,939682.0
CDP,2019-11-05 07:00:00,25302.474507138002,25302.0
CDP,2024-08-09 07:00:00,25302.474507138002,25302.0
CIA,2018-08-06 07:00:00,31261.935483870966,31262.0
CIA,2018-11-26 07:00:00,31261.935483870966,31262.0
CIA,2018-12-14 07:00:00,31261.935483870966,31262.0
CLM,2023-09-18 07:00:00,2284.4661016949153,2284.0
CLM,2026-03-30 07:00:00,2284.4661016949153,2284.0
CLX,2019-05-13 07:00:00,157999.83461736003,158000.0
CLX,2021-04-22 07:00:00,157999.83461736003,158000.0
