time,open,high,low,close,volume,symbol
2016-11-29 07:00:00,,2.1,1.9,2.1,429700.0,ACM
2016-12-13 07:00:00,,,,1.9,895430.0,ACM
2017-03-14 07:00:00,1.9,1.9,1.8,1.8,,ACM
2017-08-17 07:00:00,2.2,2.3,2.1,2.2,633000.0,ACM
2017-08-25 07:00:00,2.1,2.2,2.0,2.1,732692.0,ACM
2017-09-25 07:00:00,2.3,2.3,2.1,2.3,3442310.0,ACM
2018-10-03 07:00:00,0.8,1.0,0.8,,130400.0,ACM
2018-10-15 07:00:00,0.8,0.9,,0.8,111700.0,ACM
2018-10-16 07:00:00,0.9,,0.8,0.9,57100.0,ACM
2018-10-23 07:00:00,,0.9,0.7,,719600.0,ACM
2019-05-28 07:00:00,,0.6,,0.6,114400.0,ACM
2019-06-06 07:00:00,0.5,0.6,,,90000.0,ACM
2019-07-30 07:00:00,0.5,0.5,0.4,0.5,96000.0,ACM
2019-09-04 07:00:00,0.5,,0.4,,497730.0,ACM
2019-12-27 07:00:00,0.4,,0.4,0.4,508189.0,ACM
2020-03-23 07:00:00,,0.6,,0.5,519256.0,ACM
2020-12-28 07:00:00,1.1,1.1,,,,ACM
2021-01-18 07:00:00,1.5,1.6,,,,ACM
2021-06-18 07:00:00,3.4,,,3.4,,ACM
2021-08-10 07:00:00,,2.8,2.6,,1672002.0,ACM
2021-10-19 07:00:00,3.7,,,3.7,1269415.0,ACM
2024-06-28 07:00:00,0.7,,,,,ACM
2024-08-16 07:00:00,,0.7,0.6,0.7,225338.0,ACM
2016-12-13 07:00:00,23.64,,23.46,,,ACV
2017-01-25 07:00:00,28.9,29.48,28.55,28.84,109600.0,ACV
2017-02-22 07:00:00,30.4,30.92,30.05,,341354.0,ACV
2017-10-17 07:00:00,40.46,40.46,,39.76,,ACV
2017-10-27 07:00:00,40.75,,40.75,,,ACV
2017-12-05 07:00:00,57.26,57.26,51.62,,,ACV
2018-11-16 07:00:00,48.58,48.82,48.1,48.82,14002.0,ACV
2019-02-15 07:00:00,51.34,,50.98,,81300.0,ACV
2019-03-19 07:00:00,,53.38,,52.78,,ACV
2019-10-09 07:00:00,44.98,44.98,44.56,44.98,51700.0,ACV
2019-10-28 07:00:00,46.96,47.14,46.18,,51576.0,ACV
2020-02-13 07:00:00,36.39,36.39,,,73133.0,ACV
2020-04-15 07:00:00,32.39,33.0,31.97,32.75,226741.0,ACV
2020-11-23 07:00:00,,45.26,44.83,,295967.0,ACV
2021-04-07 07:00:00,45.08,45.08,44.71,44.95,139054.0,ACV
2021-07-07 07:00:00,45.56,,45.5,45.99,141882.0,ACV
2022-06-01 07:00:00,,,52.61,,26140.0,ACV
2022-10-27 07:00:00,43.74,44.95,43.74,,,ACV
2022-11-21 07:00:00,,47.38,46.84,47.2,,ACV
2024-01-30 07:00:00,,44.77,42.71,,,ACV
2024-04-05 07:00:00,,,50.42,51.58,,ACV
2024-05-15 07:00:00,59.35,61.36,59.35,59.47,,ACV
2024-08-23 07:00:00,,68.52,,,218155.0,ACV
2024-09-18 07:00:00,,,,64.58,154607.0,ACV
2024-09-20 07:00:00,64.45,,,65.61,229787.0,ACV
2025-03-05 07:00:00,65.61,65.67,,64.39,,ACV
2025-05-16 07:00:00,59.05,59.47,58.68,,161900.0,ACV
2025-12-01 07:00:00,52.8,53.4,,,426000.0,ACV
2018-08-29 07:00:00,7.74,7.74,7.74,7.74,,ADC
2021-09-06 07:00:00,19.5,19.5,,19.5,,ADC
2022-03-29 07:00:00,16.72,,16.72,16.72,,ADC
2022-12-02 07:00:00,,13.16,13.16,,100.0,ADC
2023-02-27 07:00:00,12.0,,12.0,12.36,1400.0,ADC
2023-03-21 07:00:00,12.0,12.0,,12.0,1000.0,ADC
2023-10-16 07:00:00,15.19,15.19,15.19,,5.0,ADC
2024-04-12 07:00:00,,,15.25,15.77,8201.0,ADC
2024-09-24 07:00:00,17.66,,,17.66,,ADC
2024-10-11 07:00:00,16.8,16.8,,16.8,,ADC
2024-10-15 07:00:00,17.49,17.49,,17.49,101.0,ADC
2025-07-02 07:00:00,18.46,18.46,18.46,18.46,,ADC
2026-02-03 07:00:00,19.11,,,19.11,3000.0,ADC
2017-12-08 07:00:00,3.65,,3.56,,12600.0,AFX
2018-06-29 07:00:00,3.28,3.28,3.28,,200.0,AFX
2019-05-24 07:00:00,2.7,,2.7,2.7,,AFX
2020-10-27 07:00:00,8.0,,,7.8,72225.0,AFX
2021-01-04 07:00:00,,,11.6,11.9,355600.0,AFX
2021-05-27 07:00:00,13.0,13.1,12.9,13.0,,AFX
2021-06-23 07:00:00,,14.1,13.5,13.5,,AFX
2021-08-16 07:00:00,13.7,,13.7,,90908.0,AFX
2021-11-11 07:00:00,15.8,15.9,15.3,15.7,270327.0,AFX
2022-04-26 07:00:00,16.4,17.2,16.4,,,AFX
2022-06-09 07:00:00,15.3,15.3,14.6,14.6,16400.0,AFX
2022-12-02 07:00:00,12.7,12.7,12.5,12.6,18300.0,AFX
2023-03-31 07:00:00,9.8,9.8,9.4,9.7,172000.0,AFX
2023-06-28 07:00:00,,,9.4,10.0,,AFX
2023-09-19 07:00:00,11.8,12.0,11.4,11.6,112305.0,AFX
2024-10-09 07:00:00,,7.8,7.5,,155808.0,AFX
2024-10-25 07:00:00,7.6,7.6,,,,AFX
2025-02-04 07:00:00,7.2,,7.2,7.2,,AFX
2021-01-19 07:00:00,,,8.16,,,AG1
2021-01-21 07:00:00,8.51,,,,,AG1
2021-12-30 07:00:00,6.92,,,7.0,12700.0,AG1
2022-01-17 07:00:00,6.47,6.92,,,,AG1
2022-01-20 07:00:00,,6.38,6.29,6.38,,AG1
2022-04-27 07:00:00,6.29,6.38,6.29,6.38,1900.0,AG1
2022-07-04 07:00:00,,,,5.94,200.0,AG1
2022-07-18 07:00:00,5.23,,5.23,,100.0,AG1
2024-05-28 07:00:00,7.8,,7.43,7.8,2323.0,AG1
2024-12-19 07:00:00,11.6,,11.6,,100.0,AG1
2025-01-07 07:00:00,12.06,,12.06,12.06,100.0,AG1
2020-02-25 07:00:00,,14.7,14.55,14.68,202890.0,AGG
2020-03-18 07:00:00,,13.53,13.32,13.37,148970.0,AGG
2020-03-30 07:00:00,13.68,13.68,13.43,13.45,142090.0,AGG
2020-04-21 07:00:00,14.29,14.29,13.99,,203380.0,AGG
2020-11-25 07:00:00,15.99,,15.93,16.05,636670.0,AGG
2020-12-02 07:00:00,,17.34,16.72,17.28,,AGG
2021-03-08 07:00:00,20.98,21.32,20.7,21.32,2337000.0,AGG
2021-04-01 07:00:00,,,,,1647600.0,AGG
2021-05-05 07:00:00,25.22,,,25.58,,AGG
2021-06-03 07:00:00,26.93,26.99,26.37,26.93,1668400.0,AGG
2021-07-26 07:00:00,,28.61,28.33,28.39,2073100.0,AGG
2021-08-19 07:00:00,28.56,,28.44,,,AGG
2021-10-08 07:00:00,25.25,,24.4,24.54,,AGG
2022-01-24 07:00:00,,34.78,32.76,,1991200.0,AGG
2022-03-29 07:00:00,,36.89,,36.6,511900.0,AGG
2022-06-14 07:00:00,,27.51,26.96,27.51,418900.0,AGG
2023-03-21 07:00:00,22.28,22.76,22.24,,,AGG
