time,open,high,low,close,volume,symbol,target_date
2026-06-02 07:00:00,12.5,12.7,12.5,12.7,1100,ABR,2026-06-02
2026-06-02 07:00:00,55.8,55.8,55.8,55.8,1700,ABT,2026-06-02
2026-06-02 07:00:00,24.9,25.4,24.75,25.1,33097100,ACB,2026-06-02
2026-06-02 07:00:00,12.35,12.35,12.05,12.35,700,ACC,2026-06-02
2026-06-02 07:00:00,43.7,43.7,43.4,43.4,528500,ACV,2026-06-02
2026-06-02 07:00:00,10.4,10.4,10.0,10.35,73100,AFX,2026-06-02
2026-06-02 07:00:00,10.4,10.5,10.4,10.5,3200,AG1,2026-06-02
2026-06-02 07:00:00,12.0,12.0,11.75,11.95,213900,AGG,2026-06-02
2026-06-02 07:00:00,36.5,36.5,35.3,35.9,2600,AGP,2026-06-02
2026-06-02 07:00:00,253.9,253.9,253.9,253.9,100,AGX,2026-06-02
2026-06-02 07:00:00,7.0,7.0,6.8,6.8,10000,ALV,2026-06-02
2026-06-02 07:00:00,26.8,27.6,25.1,26.65,10600,ANT,2026-06-02
2026-06-02 07:00:00,21.7,21.7,21.05,21.1,562400,ANV,2026-06-02
2026-06-02 07:00:00,45.5,45.5,44.0,44.5,24600,APF,2026-06-02
2026-06-02 07:00:00,4.56,4.59,4.48,4.5,105000,APG,2026-06-02
2026-06-02 07:00:00,4.1,4.1,4.1,4.1,2700,APP,2026-06-02
2026-06-02 07:00:00,5.9,6.06,5.86,5.86,864800,ASM,2026-06-02
2026-06-02 07:00:00,9.5,9.5,9.3,9.4,36300,AVG,2026-06-02
2026-06-02 07:00:00,11.1,11.2,11.1,11.1,7700,BAB,2026-06-02
2026-06-02 07:00:00,34.7,34.75,34.4,34.5,1189000,BAF,2026-06-02
2026-06-02 07:00:00,9.7,9.7,9.7,9.7,200,BBH,2026-06-02
2026-06-02 07:00:00,20.6,21.3,20.6,20.6,30200,BCA,2026-06-02
2026-06-02 07:00:00,54.4,54.8,53.0,53.3,591700,BCM,2026-06-02
